zip_code,children_with_bll_gte_5_micrograms_per_deciliter,children_lt_6_screened,percent_children_with_bll_gte_micrograms_per_deciliter
19102,,51,
19103,,224,
19104,28,805,3.5
19106,,118,
19107,,139,
19111,33,1071,3.1
19114,,294,
19115,,397,
19116,,330,
19118,,121,
19119,27,534,5.1
19120,95,1940,4.9
19121,68,1181,5.8
19122,11,475,2.3
19123,8,374,2.1
19124,104,2124,4.9
19125,20,577,3.5
19126,21,302,7.0
19127,0,54,0.0
19128,18,631,2.9
19129,8,226,3.5
19130,14,503,2.8
19131,36,886,4.1
19132,104,1256,8.3
19133,54,1109,4.9
19134,131,2235,5.9
19135,14,698,2.0
19136,6,575,1.0
19137,,120,
19138,34,739,4.6
19139,43,1272,3.4
19140,173,2026,8.5
19141,62,770,8.1
19142,35,1054,3.3
19143,109,1884,5.8
19144,100,1088,9.2
19145,23,1045,2.2
19146,24,1094,2.2
19147,7,897,0.8
19148,34,1349,2.5
19149,37,1348,2.7
19150,6,308,1.9
19151,27,651,4.1
19152,7,468,1.5
19153,,276,
19154,0,298,0.0
